LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
26041.109096958036,1,2,1,42,-1,-1,0,0,0,-1,13397,10958,8949,6323,36624,31463,3272,7251,9031,1871,2945,2616,0
380401.2330611903,1,1,1,52,-2,-2,-2,-2,0,-2,28565,21888,17906,13411,67272,122641,18879,20211,9811,6476,14279,21949,0
155346.7046974629,2,2,2,26,-2,-2,-2,-2,-2,-2,1057,184,-354,296,-34,334,-345,-357,286,-96,15,2430,0
100557.27552994147,2,3,2,23,0,0,0,0,0,0,54708,33136,54224,37275,54736,50018,3865,2880,2154,3210,2189,673,0
216722.10605115598,1,1,1,30,-2,-2,-2,-2,-2,-2,386,9793,1678,1301,1475,4213,18035,11988,86,-142,3215,11542,0
13434.907922631832,1,2,2,39,1,2,2,2,0,0,16248,9508,287,17221,45486,15176,-1319,923,513,4466,228,14328,1
89944.5806797731,2,2,2,42,2,2,0,0,0,0,17097,32763,20543,29873,2398,14465,7912,2002,765,258,460,152,0
500960.1402818843,1,1,1,26,-1,-1,-1,-1,0,0,504700,405090,49462,33353,208715,44504,58150,719,36748,31743,26640,5861,1
52073.9145688102,2,2,2,36,-2,-2,-2,-2,-2,-2,-2661,-1,403,-1111,1179,3400,3960,15468,133,47,-57,12361,0
262588.09212443465,1,2,2,51,1,-1,-1,-1,-1,-1,4055,842,5069,5791,6181,66208,921,6398,9620,3975,313,2777,0
53404.46544458717,1,2,2,34,1,0,5,2,2,-2,36675,31747,354,48,23913,1497,2584,410,522,671,1468,56,1
112202.13400316786,1,1,2,37,0,0,0,0,0,0,49276,55912,69855,14997,30552,30331,2887,1946,2541,788,2578,6548,0
23590.563765233535,1,2,3,39,1,2,2,0,0,0,39076,35571,21246,11113,41715,38074,-1277,913,708,1990,1444,1828,1
26109.107550298486,1,2,2,42,1,-2,-2,-2,-2,3,942,626,-177,-769,3253,11392,-68,27,292,161,545,59,0
