LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
47806.63794849352,1,2,2,27,3,0,0,2,2,0,3557,28353,-14796,6007,12394,17879,7535,1519,636,286,3513,1090,0
115078.58411671473,1,5,1,33,-2,-2,-2,-2,-2,-2,38220,17111,13201,168,-634,-879,2093,-128,2291,6599,7680,912,0
67268.73517975242,2,2,2,26,0,0,0,0,0,0,62007,68319,55459,32176,28445,45642,9073,6117,179,4766,1323,1699,0
505054.34322264337,2,2,2,27,0,0,0,0,0,0,124081,165537,170497,202642,76276,146259,11470,16919,2513,2246,21712,23374,0
248831.19753058252,1,4,1,32,-2,-2,-2,-2,-2,-2,1894,95,1402,-433,611,-380,-425,-585,-18,-20,-46,129,0
255881.21126173827,2,1,2,40,-2,-2,-2,-2,-2,-2,1726,-431,3836,-24,25435,2262,776,4161,10555,3140,11463,412,0
149092.38380396826,1,2,3,30,2,2,0,2,0,0,102782,136969,70270,45929,10509,43984,581,879,796,4214,3776,1064,1
49699.1089499996,2,3,1,30,0,0,0,0,0,0,36292,440493,39813,50221,67008,93378,2582,6332,1093,2174,555,1857,1
114350.48421402604,1,2,2,31,4,2,2,2,3,2,165342,67253,56843,46471,120732,81102,216,-1470,-29,18,2014,1184,1
77892.54844360806,2,1,1,43,3,2,2,2,0,2,102809,97447,63210,65114,208285,77298,1300,444,3455,2271,1917,2143,1
126277.95227984907,2,1,1,28,0,0,0,0,0,0,76251,196084,135703,135231,166108,110844,1735,51158,5196,277,5187,3441,0
22472.107011644566,1,2,1,66,0,0,0,0,0,0,2441,162087,209526,119297,187782,114690,3794,4702,742,-140,107,223,0
260537.70761253554,1,3,1,31,0,0,0,0,0,0,92447,64979,80684,52318,29033,32233,4781,4551,92071,9840,5120,7625,0
493510.0708841376,2,1,1,59,-1,-1,-1,0,0,0,14182,23454,12566,14455,10878,29496,11957,21586,5611,15993,4118,31,0
183048.36538342206,2,1,2,34,0,-2,0,0,-1,-1,14325,10082,19139,2415,3039,18936,657,3382,2865,1397,11074,3521,0
213504.76944521215,2,3,1,49,0,0,0,0,0,0,48799,187220,105399,93041,158558,200045,8543,5211,6001,4207,5700,9644,0
277399.40537280444,2,1,2,50,-2,-2,-2,-2,-2,-2,22318,11278,2485,2748,1306,723,9540,843,708,2837,4385,187,0
262575.8870854118,2,2,1,33,2,-1,-2,-2,-2,-2,-1297,257,2058,-43,3620,616,1964,673,170,836,552,226,0
199301.05235971307,2,1,2,23,0,-1,0,0,0,0,157275,232231,205509,177927,230953,215874,70336,10548,4485,4493,2754,6855,0
237528.785000211,2,1,2,27,0,0,0,0,0,0,81626,58468,78513,106895,78855,60841,24240,8092,9409,5912,8200,9161,1
258503.18362569937,1,2,1,38,-1,-1,-1,-1,-1,-1,12617,5749,13461,77,4160,1526,4107,9511,216,1054,223,763,0
490192.07661462657,2,2,2,25,0,0,0,0,0,0,230635,206670,231694,306926,200286,386306,7955,12560,6963,6746,267,4103,0
205291.13256905327,1,1,2,39,-1,-1,-1,-1,-1,-1,87,3266,2015,719,5268,1144,5162,2695,242,-143,-52,93,1
109645.24970577905,1,2,2,24,1,2,0,2,2,2,15206,33438,57322,14969,11563,38870,707,286,1000,1025,-3,137,0
62937.17352373224,2,2,2,22,0,0,0,0,0,0,17416,23381,10951,1491,19166,7781,1573,309,2181,1094,4943,2045,0
194967.19615151425,2,3,2,32,2,3,2,2,3,2,30371,31917,13303,73173,26976,23249,3540,603,517,124,-118,1811,0
266182.9125945174,2,1,2,40,-1,-1,-1,-1,-1,-1,-479,47,2021,3505,1753,1850,206,827,3104,4404,2775,3630,1
18094.643133395744,2,1,2,31,0,0,0,0,0,0,2496,10331,7683,5395,11398,10716,7808,233,255,818,1803,1607,1
16852.428911007886,1,2,1,43,2,0,2,2,0,2,7895,14405,10844,26488,10458,20323,1946,1477,727,289,75,951,1
156989.71945490403,2,2,1,22,2,2,5,2,2,2,35878,78670,73482,66325,63892,41581,3738,1429,1327,2485,3614,4708,1
434727.1416089219,1,3,1,36,0,0,0,0,0,0,41512,50484,31484,53806,33580,67176,2308,2567,2413,2581,2025,897,0
278565.7313821081,2,2,1,29,0,0,0,0,0,0,198500,205419,224149,162762,83694,189904,5156,3661,241312,2255,4650,9897,0
489328.9464680261,2,1,2,30,0,0,0,0,0,0,384037,289602,353386,256158,418947,514008,28183,20361,12164,14271,14085,5346,0
47421.054125040064,1,2,1,38,-1,-1,-1,-1,-1,-1,37850,195,5248,765,2807,1329,512,352,914,1597,44,154,0
98530.01588039003,1,1,2,23,-1,2,2,2,2,2,64380,361985,532540,34017,290337,398059,7016,9179,762,5084,502,15605,1
211419.61420856367,2,3,1,38,-1,-1,-1,-1,-1,-1,16766,117075,14243,2531,2844,7145,2869,178720,3808,3618,2843,4502,0
15432.167930529638,2,2,2,25,2,2,2,2,2,2,18740,50819,86170,19924,29962,35898,54004,2039,-324,31,-266,5427,0
141901.425504098,1,1,1,30,0,0,0,0,0,0,141783,174298,106219,155520,72458,101203,4704,8379,4459,2027,7060,2460,1
44433.34048339121,1,3,1,49,2,2,2,0,0,0,1173,934,931,16861,19150,15535,-135,1318,4537,227,1022,1403,1
495641.97989060474,2,1,2,43,0,0,0,0,0,0,438530,343963,387238,627314,392387,152954,13306,73118,407,1927,257,3803,1
17138.712516879503,2,2,1,27,0,0,0,0,0,0,73999,21605,25718,9161,35756,16503,2422,62,1554,1290,2872,172,0
46055.63011834104,2,2,1,26,0,0,0,0,0,0,6821,82007,32743,27933,32365,43067,1606,2989,2203,2990,1638,3866,0
498569.80277891457,2,1,2,32,0,0,0,0,0,0,19785,19385,12149,158475,300567,111713,11948,10197,16182,17257,6060,1472,0
255818.3329187802,2,1,2,33,-2,-2,-2,-2,-2,-2,276,-51,2918,-512,1321,1038,99,161,-34,72,7594,-60,0
71387.18924356147,2,2,2,30,0,0,0,0,0,0,18367,92869,87894,116001,60139,111817,4830,11478,4669,6544,11313,6897,0
48230.63988815105,2,2,1,24,1,2,0,0,0,0,26368,10932,10114,26974,12491,17047,433,1617,545,23887,3043,-12,0
109361.0349100147,2,2,1,33,0,2,0,0,0,0,101039,86292,99937,88416,96982,50837,5708,6571,624,76,2329,1872,0
69700.35690152738,2,1,1,40,0,0,0,-1,-1,-1,2822,1605,1814,2096,13809,11918,1790,40,1675,3612,1329,869,0
17258.58982287825,1,1,2,25,-1,-1,-1,0,0,0,2787,1562,1070,-3823,13733,2489,128,568,16761,5404,196,469,0
198117.67990757563,2,1,2,27,0,0,0,0,0,0,94886,178175,179528,193030,114373,192291,7141,6188,3657,5672,5154,6521,0
13291.559910118407,2,3,1,51,1,2,-2,0,-2,-2,1166,2617,917,6721,3723,7012,196,1529,-560,373,337,345,0
115126.24615899759,1,2,2,32,0,0,0,0,0,0,39575,12163,5481,10610,10845,7705,2456,853,94,2027,428,175,1
215109.14797525996,1,3,1,46,-1,-1,-1,-1,-1,-1,1083,7400,4043,1137,4610,466,1107,4638,455,3841,52007,449,1
499867.4344392741,2,1,2,26,-1,-1,0,0,0,0,18752,14176,20853,31041,208315,60933,22743,9237,17278,6021,-26,787,0
198478.1964197493,2,2,2,29,0,2,0,0,0,0,105779,56564,48019,80910,111458,85933,1568,6669,1018,5469,2775,2256,1
237431.5286966196,2,1,2,47,2,-1,-1,-1,-2,-1,-103,734,2248,103,1189,22,427,296,110,-336,1397,370,0
112673.7031960275,2,2,2,28,2,3,0,2,0,0,39288,60010,33082,50683,80526,50649,412,1630,2398,2522,1687,10,1
49967.38710332786,1,1,3,41,-1,-1,-1,0,2,-1,38516,8954,138,24997,1071,1709,630,1315,1191,1286,742,-27,0
11869.475882437573,1,2,2,49,0,0,0,0,0,0,39993,44728,47841,14972,21882,26234,735,2290,199,27894,272,-88,0
193484.56380492996,1,3,2,28,0,0,0,2,0,0,71809,64545,59994,29833,52040,48166,4973,916,1773,3171,2918,1883,0
271202.6791579272,1,3,2,46,-1,-1,-2,-2,-1,-1,14540,10184,10866,688,1913,1248,55611,716,594,10419,69,-90,0
123954.19866170011,2,1,1,24,2,-1,-1,-2,-1,-1,1558,4146,1876,1160,393,993,-554,253,1044,105,2801,203,1
269477.68396857195,2,1,2,45,-1,-1,-1,-1,-1,-1,6518,2169,1767,734,2251,-621,9399,1355,102,186,14275,2894,0
48971.598156033644,2,2,1,44,2,0,-1,-1,-1,-1,2703,677,1188,2172,1779,1656,218,284,488,188,26,300,1
499913.18657762767,1,3,1,48,0,0,0,0,0,0,22302,330790,36935,57143,15169,27894,18083,1622,1059,12689,20959,2021,0
9684.06581299896,1,2,1,34,0,0,0,0,0,0,27163,33858,6595,14600,6881,46220,4901,607,220,1522,10212,532,0
130777.12082091905,1,2,2,30,-2,-2,-2,-2,-2,-2,33951,12528,70812,8068,7121,30632,415,192,1701,1897,3739,-54,0
483146.7864849493,1,1,2,45,0,0,-1,-1,-1,-1,15647,17918,27089,34249,75429,29493,92653,176227,61619,101542,9361,2286,0
211694.8412833299,2,1,1,43,-1,-1,-1,-1,-1,-1,13177,6763,930,120833,9816,21718,111835,123081,920,15938,4637,4336,0
